species,date,geartype,sex,inches,grams,age,agestruct
BG,4/28/1999,BOOM SHOCKER,NA,2.8,6,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.8,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.8,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.9,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.9,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.9,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.9,6,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,6,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.9,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3,8,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3,8,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.1,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.1,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.1,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.1,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.1,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.1,7,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.1,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.2,8,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.2,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,8,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.3,8,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,10,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,10,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,11,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,14,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.3,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.4,7,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,9,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,10,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,11,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,11,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.4,11,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.4,12,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.4,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,11,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,12,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,12,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.5,12,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,14,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.5,NA,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.6,11,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.6,12,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.6,12,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.6,12,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.6,12,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.6,13,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.6,15,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.6,15,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.6,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.6,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.6,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.6,NA,NA,NA
BG,4/5/1999,FYKE NET,NA,3.7,11,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.7,12,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.7,12,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.7,13,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,3.7,18,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.8,14,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.8,14,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.8,14,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.8,16,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.8,18,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.8,18,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.8,NA,NA,NA
BG,4/5/1999,FYKE NET,NA,3.9,13,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.9,13,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.9,14,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.9,14,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.9,15,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.9,15,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,3.9,15,NA,NA
BG,4/1/1999,FYKE NET,NA,4,12,2,SCALE
